scenario,implementation,mode,run,iterations,elapsedMs,elapsedPerIterationMs,cpuPeakPercent,rssPeakBytes,rssPeakMiB,records,bytes,exitCode
json-normal,node-json-native,json-native,1,20,345.171,17.259,40.0,105111552,100.242,32000,44941640,0
json-normal,node-json-native,json-native,2,20,376.155,18.808,16.0,108580864,103.551,32000,44941640,0
json-normal,node-json-native,json-native,3,20,398.056,19.903,9.0,108851200,103.809,32000,44941640,0
json-normal,node-json-native,json-native,4,20,309.611,15.481,21.0,102666240,97.91,32000,44941640,0
json-normal,node-json-native,json-native,5,20,318.964,15.948,12.0,97243136,92.738,32000,44941640,0
json-normal,node-json-stream,json-stream,1,20,1241.4,62.07,26.0,87027712,82.996,32000,44941640,0
json-normal,node-json-stream,json-stream,2,20,1367.203,68.36,17.0,87257088,83.215,32000,44941640,0
json-normal,node-json-stream,json-stream,3,20,1271.978,63.599,33.0,84697088,80.773,32000,44941640,0
json-normal,node-json-stream,json-stream,4,20,1327.365,66.368,42.0,87298048,83.254,32000,44941640,0
json-normal,node-json-stream,json-stream,5,20,1311.349,65.567,24.0,87908352,83.836,32000,44941640,0
json-normal,go-json-native,json-native,1,20,589.939,29.497,42.0,30441472,29.031,32000,44941640,0
json-normal,go-json-native,json-native,2,20,506.557,25.328,38.0,30179328,28.781,32000,44941640,0
json-normal,go-json-native,json-native,3,20,500.599,25.03,9.0,26562560,25.332,32000,44941640,0
json-normal,go-json-native,json-native,4,20,492.646,24.632,43.0,29024256,27.68,32000,44941640,0
json-normal,go-json-native,json-native,5,20,485.824,24.291,76.0,26148864,24.938,32000,44941640,0
json-large,node-json-native,json-native,1,1,801.716,801.716,41.0,700407808,667.961,102400,129956237,0
json-large,node-json-native,json-native,2,1,793.922,793.922,42.0,700227584,667.789,102400,129956237,0
json-large,node-json-native,json-native,3,1,773.184,773.184,42.0,700805120,668.34,102400,129956237,0
json-large,node-json-native,json-native,4,1,883.448,883.448,43.0,700211200,667.773,102400,129956237,0
json-large,node-json-native,json-native,5,1,795.267,795.267,37.0,701710336,669.203,102400,129956237,0
json-large,node-json-stream,json-stream,1,1,3297.618,3297.618,42.0,58183680,55.488,102400,129956237,0
json-large,node-json-stream,json-stream,2,1,3158.722,3158.722,25.0,58343424,55.641,102400,129956237,0
json-large,node-json-stream,json-stream,3,1,3108.047,3108.047,25.0,58318848,55.617,102400,129956237,0
json-large,node-json-stream,json-stream,4,1,3165.759,3165.759,18.0,57913344,55.23,102400,129956237,0
json-large,node-json-stream,json-stream,5,1,3140.833,3140.833,26.0,58908672,56.18,102400,129956237,0
json-large,go-json-native,json-native,1,1,1538.347,1538.347,66.0,702607360,670.059,102400,129956237,0
json-large,go-json-native,json-native,2,1,1530.774,1530.774,34.0,693993472,661.844,102400,129956237,0
json-large,go-json-native,json-native,3,1,1459.689,1459.689,83.0,682815488,651.184,102400,129956237,0
json-large,go-json-native,json-native,4,1,1466.232,1466.232,95.0,694247424,662.086,102400,129956237,0
json-large,go-json-native,json-native,5,1,1565.113,1565.113,49.0,686313472,654.52,102400,129956237,0
csv-normal,node-csv-native,csv-native,1,20,646.688,32.334,17.0,91299840,87.07,32000,9990900,0
csv-normal,node-csv-native,csv-native,2,20,509.187,25.459,18.0,91443200,87.207,32000,9990900,0
csv-normal,node-csv-native,csv-native,3,20,533.358,26.668,13.0,91848704,87.594,32000,9990900,0
csv-normal,node-csv-native,csv-native,4,20,520.924,26.046,26.0,90583040,86.387,32000,9990900,0
csv-normal,node-csv-native,csv-native,5,20,521.467,26.073,17.0,80982016,77.23,32000,9990900,0
csv-normal,node-csv-parser,csv-parser,1,20,262.362,13.118,24.0,59166720,56.426,32000,9990900,0
csv-normal,node-csv-parser,csv-parser,2,20,284.491,14.225,25.0,58228736,55.531,32000,9990900,0
csv-normal,node-csv-parser,csv-parser,3,20,266.32,13.316,21.0,59203584,56.461,32000,9990900,0
csv-normal,node-csv-parser,csv-parser,4,20,272.467,13.623,25.0,59187200,56.445,32000,9990900,0
csv-normal,node-csv-parser,csv-parser,5,20,305.838,15.292,25.0,58667008,55.949,32000,9990900,0
csv-normal,go-csv-native,csv-native,1,20,55.426,2.771,8.0,4952064,4.723,32000,9990900,0
csv-normal,go-csv-native,csv-native,2,20,69.013,3.451,8.0,14835712,14.148,32000,9990900,0
csv-normal,go-csv-native,csv-native,3,20,53.647,2.682,8.0,13840384,13.199,32000,9990900,0
csv-normal,go-csv-native,csv-native,4,20,53.875,2.694,9.0,13574144,12.945,32000,9990900,0
csv-normal,go-csv-native,csv-native,5,20,54.512,2.726,9.0,13627392,12.996,32000,9990900,0
